geom,id,name,coordinates,totaldocks,docksavailable,bikesavailable,classicbikesavailable,smartbikesavailable,electricbikesavailable,rewardbikesavailable,rewarddocksavailable,kioskstatus,kioskpublicstatus,kioskconnectionstatus,kiosktype,addressstreet,addresscity,addressstate,addresszipcode,bikes,closetime,eventend,eventstart,iseventbased,isvirtual,kioskid,notes,opentime,publictext,timezone,trikesavailable,latitude,longitude,newcolname
POINT(-75.1547 39.96892),3016,"11th & Poplar, John F. Street Community Center","{-75.1547,39.96892}",15,11,2,2,0,0,2,11,FullService,Active,Active,1,1100 Poplar St.,Philadelphia,PA,19123,"{""{ \""dockNumber\"": 2, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 3, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 13, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }"",""{ \""dockNumber\"": 15, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }""}",,,,false,false,3016,,,,,0,39.96892,-75.1547,
POINT(-75.18323 39.95472),3022,Amtrak 30th Street Station,"{-75.18323,39.95472}",21,20,0,0,0,0,0,21,FullService,Active,Active,1,2933 Market Street,Philadelphia,PA,19104,"{""{ \""dockNumber\"": 3, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }""}",,,,false,false,3022,,,,,0,39.95472,-75.18323,
POINT(-75.20908 39.94822),3024,"43rd & Chester, Clark Park","{-75.20908,39.94822}",19,14,3,1,0,1,4,14,FullService,Active,Active,1,598 S. 43rd St.,Philadelphia,PA,19104,"{""{ \""dockNumber\"": 2, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 9, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 11, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }"",""{ \""dockNumber\"": 18, \""isElectric\"": true, \""isAvailable\"": true, \""battery\"": 0.25 }"",""{ \""dockNumber\"": 19, \""isElectric\"": true, \""isAvailable\"": true, \""battery\"": 0.80000000000000004 }""}",,,,false,false,3024,,,,,0,39.94822,-75.20908,
POINT(-75.14541 39.93445),3072,Front & Carpenter,"{-75.14541,39.93445}",25,22,2,2,0,0,2,23,FullService,Active,Active,1,925 S. Front St.,Philadelphia,PA,19147,"{""{ \""dockNumber\"": 14, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }"",""{ \""dockNumber\"": 19, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 22, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }""}",,,,false,false,3072,,,,,0,39.93445,-75.14541,
POINT(-75.19781 39.97472),3113,Philadelphia Zoo,"{-75.19781,39.97472}",12,9,3,3,0,0,3,9,FullService,Active,Active,1,1046 N. 34th Street,Philadelphia,PA,19104,"{""{ \""dockNumber\"": 1, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 3, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 5, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }""}",,,,false,false,3113,,,,,0,39.97472,-75.19781,
POINT(-75.19962 39.95121),3159,38th & Spruce,"{-75.19962,39.95121}",23,22,0,0,0,0,0,23,FullService,Active,Active,1,3804 spruce street,Philadelphia,PA,19104,"{""{ \""dockNumber\"": 12, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }""}",,,,false,false,3159,,,,,0,39.95121,-75.19962,
POINT(-75.17063 39.95174),3206,18th & Chestnut,"{-75.17063,39.95174}",21,19,1,1,0,0,1,20,FullService,Active,Active,1,1805 Chestnut St,Philadelphia,PA,19103,"{""{ \""dockNumber\"": 15, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 20, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }""}",,,,false,false,3206,,,,,0,39.95174,-75.17063,
POINT(-75.16374 39.95378),3004,Municipal Services Building Plaza,"{-75.16374,39.95378}",30,13,15,13,0,1,16,13,FullService,Active,Active,1,1401 John F. Kennedy Blvd.,Philadelphia,PA,19102,"{""{ \""dockNumber\"": 4, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 6, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 7, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 9, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 12, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 16, \""isElectric\"": true, \""isAvailable\"": true, \""battery\"": 0.80000000000000004 }"",""{ \""dockNumber\"": 17, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }"",""{ \""dockNumber\"": 18, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 20, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 22, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 23, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }"",""{ \""dockNumber\"": 25, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 26, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 27, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 28, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 29, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 30, \""isElectric\"": true, \""isAvailable\"": true, \""battery\"": 0.25 }""}",,,,false,false,3004,,,,,0,39.95378,-75.16374,
POINT(-75.15672 39.95005),3033,10th & Chestnut,"{-75.15672,39.95005}",20,20,0,0,0,0,0,20,FullService,Active,Active,1,921 Chestnut St.,Philadelphia,PA,19107,{},,,,false,false,3033,,,,,0,39.95005,-75.15672,
POINT(-75.20311 39.9522),3006,40th & Spruce,"{-75.20311,39.9522}",17,15,1,1,0,0,1,16,FullService,Active,Active,1,246 S. 40th St.,Philadelphia,PA,19104,"{""{ \""dockNumber\"": 9, \""isElectric\"": false, \""isAvailable\"": true, \""battery\"": null }"",""{ \""dockNumber\"": 12, \""isElectric\"": false, \""isAvailable\"": false, \""battery\"": null }""}",,,,false,false,3006,,,,,0,39.9522,-75.20311,
